"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"76638_V5_combine","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_combine/outs/molecule_info.h5","76638_V5",116
"76638_V5_Muscle","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76638_V5_Muscle/outs/molecule_info.h5","76638_V5_Muscle",83
"76638_V5_Muscle_force","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76638_V5_Muscle_force/outs/molecule_info.h5","76638_V5_Muscle",84
"76638_V5_Muscle_2nd","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_Muscle_2nd/outs/molecule_info.h5","76638_V5_Muscle",107
"76638_V5_Muscle_combine","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_Muscle_combine/outs/molecule_info.h5","76638_V5_Muscle",117
"76638_V5_Muscle_combine_force10000","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_Muscle_combine_force10000/outs/molecule_info.h5","76638_V5_Muscle",128
"76643_V11","/media/jianie/SequencingFiles_3/20220620_Counts/76643_V11/outs/molecule_info.h5","76643_V11",136
"76643_V11_2nd","/media/jianie/SequencingFiles_4/20220715_Counts/76643_V11_2nd/outs/molecule_info.h5","76643_V11",190
"76643_V11_3rd","/media/jianie/SequencingFiles_4/20220801_Counts/76643_V11_3rd/outs/molecule_info.h5","76643_V11",240
"76643_V5","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76643_V5/outs/molecule_info.h5","76643_V5",85
"76643_V5_2nd","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5_2nd/outs/molecule_info.h5","76643_V5",103
"76643_V5_combine","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5_combine/outs/molecule_info.h5","76643_V5",118
"76647_V11","/media/jianie/SequencingFiles_3/20220620_Counts/76647_V11/outs/molecule_info.h5","76647_V11",138
"76647_V11_2nd","/media/jianie/SequencingFiles_4/20220715_Counts/76647_V11_2nd/outs/molecule_info.h5","76647_V11",188
"76647_V11_3rd","/media/jianie/SequencingFiles_4/20220801_Counts/76647_V11_3rd/outs/molecule_info.h5","76647_V11",239
